"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:34:05,FALSE,NA,"1149144803495612416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aristem88131320",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:34:05,FALSE,NA,"1149144801998077953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaathPonce",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:34:01,FALSE,NA,"1149144785858584577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DanielaUitzil14",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:34:00,FALSE,NA,"1149144779206230016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GloriaB64924743",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:33:51,FALSE,NA,"1149144742241996800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Manu_Beristain",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:33:43,FALSE,NA,"1149144709757059073",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","auroperales",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:33:41,FALSE,NA,"1149144700215058433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lisy_rose",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:33:39,FALSE,NA,"1149144694632394752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mailolovebot",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:33:39,FALSE,NA,"1149144693558652928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","javiera2312",351,TRUE,FALSE,NA,NA
"RT @los_aristemos: Y en Colombia DOS tendencias 
<U+0001F449> COLOMBIA CON JOACO y
<U+0001F449> ADOPCIÓN ARISTEMO https://t.co/4WitAJmOzI",FALSE,0,NA,2019-07-11 02:33:30,FALSE,NA,"1149144655499415552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mariana01299694",351,TRUE,FALSE,NA,NA
