"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Ingeniero Electrónico/Telecomunicaciones/Físico
#empleo #trabajo #Barcelona #empleobarcelona
Inscríbete aquí <U+0001F449> https://t.co/AUmuJ8eag5",FALSE,0,NA,2019-08-09 18:23:08,FALSE,NA,"1159892887934517250",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Jobs_in_BCN",0,FALSE,FALSE,NA,NA
"Se necesita técnico en telecomunicaciones https://t.co/aiX1pcHA1y ciudad Concepción #trabajo #empleo",FALSE,0,NA,2019-08-09 17:49:02,FALSE,NA,"1159884302831824896",NA,"<a href=""http://www.chiletrabajos.cl/"" rel=""nofollow"">chiletrabajos</a>","cht_concepcion",1,FALSE,FALSE,NA,NA
"ASESOR/A COMERCIAL TELECOMUNICACIONES EMPRESAS
#empleo #trabajo #Alicante #trabajoalicante
Inscríbete aquí <U+0001F449> https://t.co/OFXswUcHX4",FALSE,0,NA,2019-08-09 17:03:19,FALSE,NA,"1159872799005138944",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TrabajosAlacant",0,FALSE,FALSE,NA,NA
"Dependiente/a Telecomunicaciones
#trabajo #empleo #Murcia #trabajomurcia
Inscríbete aquí <U+0001F449> https://t.co/4a04NQUT7d",FALSE,0,NA,2019-08-09 15:36:00,FALSE,NA,"1159850827386953730",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","TrabajoMurcia",0,FALSE,FALSE,NA,NA
"Comercial telecomunicaciones.
#trabajo #empleo #Murcia #trabajomurcia
Inscríbete aquí <U+0001F449> https://t.co/HO6SNy3Twr",FALSE,0,NA,2019-08-09 15:08:01,FALSE,NA,"1159843782172401668",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","EmpleoMurcia",0,FALSE,FALSE,NA,NA
"RT @miguelsepulcre: Oferta de #empleo en I+D+i en la #UMH sobre “Comunicaciones #V2X para Vehículo Autónomo Conectado” para titulad@s en #t…",FALSE,0,NA,2019-08-09 14:23:34,FALSE,NA,"1159832598232752128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","estudiateleco",4,TRUE,FALSE,NA,NA
"Beca estudiantes de Informática o Telecomunicaciones
#empleo #trabajo #Bizkaia #trabajobizkaia
Inscríbete aquí <U+0001F449> https://t.co/qQ1wjklr7h",FALSE,0,NA,2019-08-09 13:33:39,FALSE,NA,"1159820034430164992",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TrabajosBizkaia",0,FALSE,FALSE,NA,NA
"Oferta de #empleo: Asesor/a Comercial- Telecomunicaciones IP. Málaga en #Málaga, Málaga, Andalucía, España https://t.co/fXLbPHK9Wg",FALSE,0,NA,2019-08-09 11:30:22,FALSE,NA,"1159789010518269953",NA,"<a href=""http://www.bizneo.com"" rel=""nofollow"">Bizneo</a>","HighlanderRRHH",0,FALSE,FALSE,NA,NA
"Comercial telecomunicaciones.
#trabajo #empleo #Murcia #trabajomurcia
Inscríbete aquí <U+0001F449> https://t.co/mQCARShb4K",FALSE,0,NA,2019-08-09 08:31:00,FALSE,NA,"1159743871825403904",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","TrabajoMurcia",0,FALSE,FALSE,NA,NA
"Puesto: Personal Investigador de Apoyo (Ingeniería de Telecomunicaciones / Informática) - Seguridad en computación… https://t.co/Iz2BIl8c4S",FALSE,0,NA,2019-08-09 07:30:08,TRUE,NA,"1159728552721494017",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","empleo_idi",0,FALSE,FALSE,NA,NA
"Puesto: Personal Investigador de Apoyo (Ingeniería de Telecomunicaciones / Informática) - Análisis de datos y simul… https://t.co/NYbnnQ2f4K",FALSE,0,NA,2019-08-09 07:28:36,TRUE,NA,"1159728168359596032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","empleo_idi",0,FALSE,FALSE,NA,NA
"Master en Negocio y Derecho de las Telecomunicaciones https://t.co/dBa9loObcH https://t.co/CRTGNlO81W",FALSE,0,NA,2019-08-09 03:55:05,FALSE,NA,"1159674434971680768",NA,"<a href=""http://cursos.noticiasvigo.es"" rel=""nofollow"">Cursos Noticias Vigo</a>","portal_empleo",0,FALSE,FALSE,NA,NA
"Contoller Económico. Proyecto de Telecomunicaciones
#empleo #trabajo #Madrid #empleomadrid
Solicita este trabajo aq… https://t.co/ZeX3dhb5yN",FALSE,0,NA,2019-08-09 01:40:41,TRUE,NA,"1159640612565598209",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Jobs_in_Madrid",0,FALSE,FALSE,NA,NA
"#oposiciones https://t.co/ykEmBrA0u3 ESCALA DE OFICIALES DEL CUERPO GENERAL DEL EJERCITO DEL AIRE. a) Tres (3) plaz… https://t.co/NPhCYF9TLz",FALSE,0,NA,2019-08-09 01:35:18,TRUE,NA,"1159639257214050304",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TodoOposiciones",0,FALSE,FALSE,NA,NA
"RT @camilogaviriag: Vamos a convertir a #LaDorada en un polo de desarrollo tecnológico con proyectos de telecomunicaciones, call centers, B…",FALSE,0,NA,2019-08-08 19:41:52,FALSE,NA,"1159550311557730338",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sismorresitent",3,TRUE,FALSE,NA,NA
"RT @camilogaviriag: Vamos a convertir a #LaDorada en un polo de desarrollo tecnológico con proyectos de telecomunicaciones, call centers, B…",FALSE,0,NA,2019-08-08 18:50:30,FALSE,NA,"1159537385274773504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","robertz67233645",3,TRUE,FALSE,NA,NA
"RT @camilogaviriag: Vamos a convertir a #LaDorada en un polo de desarrollo tecnológico con proyectos de telecomunicaciones, call centers, B…",FALSE,0,NA,2019-08-08 16:42:03,FALSE,NA,"1159505061988491265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","monoparra90",3,TRUE,FALSE,NA,NA
"PROMOTOR /A TELECOMUNICACIONES EN MEDIA MARKT. PARQUE MEGAPARK BARAKALDO
#empleo #trabajo #Bizkaia #trabajobizkaia… https://t.co/QpM0XHX48I",FALSE,0,NA,2019-08-08 16:33:38,TRUE,NA,"1159502941503578114",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TrabajosBizkaia",0,FALSE,FALSE,NA,NA
